Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Forward KL,q,clip,folder,episode,environment,seed
297.4154,347.27,338.39,0,239.0319,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,0,Humanoid-v5,456
296.9117,302.03,289.57,1,218.925,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,5000,Humanoid-v5,456
273.9863,392.91,428.39,2,190.0691,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,10000,Humanoid-v5,456
279.2677,415.17,343.21,3,196.4727,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,15000,Humanoid-v5,456
311.512,342.55,230.32,4,220.4368,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,20000,Humanoid-v5,456
274.2256,421.49,314.18,5,184.3049,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,25000,Humanoid-v5,456
267.9251,434.08,491.59,6,196.4133,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,30000,Humanoid-v5,456
274.6288,452.79,456.07,7,186.8397,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,35000,Humanoid-v5,456
260.1599,611.77,630.28,8,185.1956,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,40000,Humanoid-v5,456
263.8372,490.63,544.24,9,171.2088,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,45000,Humanoid-v5,456
267.4857,522.83,428.63,10,162.0506,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,50000,Humanoid-v5,456
269.3053,571.56,508.58,11,160.5825,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,55000,Humanoid-v5,456
265.0507,537.72,356.72,12,180.9068,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,60000,Humanoid-v5,456
281.2761,568.82,377.04,13,176.9363,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,65000,Humanoid-v5,456
273.1935,517.13,438.43,14,189.6734,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,70000,Humanoid-v5,456
278.0187,601.96,675.01,15,158.3176,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,75000,Humanoid-v5,456
267.8331,820.78,627.88,16,154.8136,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,80000,Humanoid-v5,456
