Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Forward KL,q,clip,folder,episode,environment,seed
265.1071,757.64,500.65,17,140.7176,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,85000,Humanoid-v5,456
263.0761,816.29,658.63,18,143.2926,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,90000,Humanoid-v5,456
243.8593,679.17,610.02,19,139.3641,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,95000,Humanoid-v5,456
245.4947,632.36,611.44,20,141.5463,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,100000,Humanoid-v5,456
257.9145,712.75,601.5,21,131.5338,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,105000,Humanoid-v5,456
258.9662,800.83,722.01,22,147.2558,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,110000,Humanoid-v5,456
262.9432,888.61,905.19,23,135.5941,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,115000,Humanoid-v5,456
248.2772,603.27,633.74,24,142.4847,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,120000,Humanoid-v5,456
261.3449,1030.98,806.9,25,125.6149,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,125000,Humanoid-v5,456
259.1241,887.63,495.51,26,133.5007,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,130000,Humanoid-v5,456
241.6968,1154.26,1072.84,27,109.8186,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,135000,Humanoid-v5,456
252.8405,1127.62,1086.77,28,118.1199,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,140000,Humanoid-v5,456
260.7326,936.14,420.63,29,112.7983,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,145000,Humanoid-v5,456
237.3911,1110.78,494.2,30,101.4573,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,150000,Humanoid-v5,456
244.2317,1327.59,680.08,31,103.5587,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,155000,Humanoid-v5,456
240.7392,1877.96,569.74,32,106.5344,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,160000,Humanoid-v5,456
263.4127,1349.78,460.72,33,118.4059,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,165000,Humanoid-v5,456
220.4533,2281.3,2180.26,34,100.3669,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,170000,Humanoid-v5,456
300.2019,1020.42,641.32,35,143.0352,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,175000,Humanoid-v5,456
285.7607,1678.5,1322.27,36,119.2177,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,180000,Humanoid-v5,456
260.263,1392.98,1059.05,37,144.0121,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,185000,Humanoid-v5,456
236.7683,1386.61,904.58,38,117.7159,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,190000,Humanoid-v5,456
245.504,1722.14,1739.7,39,115.6566,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,195000,Humanoid-v5,456
214.8617,2010.26,1978.17,40,90.0482,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,200000,Humanoid-v5,456
258.4264,1516.47,2857.87,41,122.3626,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,205000,Humanoid-v5,456
238.9992,1867.68,4249.07,42,95.2065,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,210000,Humanoid-v5,456
233.0734,1279.12,2286.33,43,95.4009,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,215000,Humanoid-v5,456
227.7988,1499.91,4664.32,44,93.0588,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,220000,Humanoid-v5,456
206.6945,2161.51,1614.73,45,86.6997,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,225000,Humanoid-v5,456
187.5041,1745.91,1808.44,46,79.8913,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,230000,Humanoid-v5,456
228.3933,2201.72,792.4,47,101.9539,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,235000,Humanoid-v5,456
205.5165,2981.8,1807.01,48,89.4302,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,240000,Humanoid-v5,456
222.2047,2262.18,636.77,49,94.098,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,245000,Humanoid-v5,456
182.6545,2404.83,1705.62,50,71.4671,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,250000,Humanoid-v5,456
188.4585,2589.68,1419.62,51,65.8736,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,255000,Humanoid-v5,456
177.104,2952.33,1223.91,52,59.2766,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,260000,Humanoid-v5,456
189.5766,2797.33,2801.34,53,69.9861,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,265000,Humanoid-v5,456
192.1211,3587.56,3214.22,54,57.0485,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,270000,Humanoid-v5,456
187.6005,2430.42,4001.7,55,70.0943,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,275000,Humanoid-v5,456
203.0451,3492.72,2930.26,56,82.8853,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,280000,Humanoid-v5,456
181.0797,3982.22,4732.05,57,72.4773,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,285000,Humanoid-v5,456
189.0315,2747.1,1403.14,58,67.0233,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,290000,Humanoid-v5,456
161.4369,3858.3,4992.13,59,65.0957,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,295000,Humanoid-v5,456
160.6651,3894.8,5238.99,60,70.2661,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,300000,Humanoid-v5,456
157.4304,4405.51,5128.31,61,42.7481,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,305000,Humanoid-v5,456
170.665,4007.96,4874.29,62,71.3426,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,310000,Humanoid-v5,456
173.7076,4448.5,4973.09,63,67.4804,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,315000,Humanoid-v5,456
192.2899,3392.57,3379.74,64,84.9092,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,320000,Humanoid-v5,456
183.1292,3078.47,3779.53,65,75.6731,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,325000,Humanoid-v5,456
161.9975,4018.41,4399.05,66,55.5361,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,330000,Humanoid-v5,456
151.0923,4670.15,5305.41,67,47.3608,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,335000,Humanoid-v5,456
184.6786,4527.99,5267.63,68,80.7896,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,340000,Humanoid-v5,456
151.9378,3986.01,4012.82,69,53.4808,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,345000,Humanoid-v5,456
197.805,2742.57,1580.87,70,73.0756,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,350000,Humanoid-v5,456
171.6042,4049.28,4838.71,71,58.1172,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,355000,Humanoid-v5,456
164.6895,4119.87,4198.03,72,59.4213,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,360000,Humanoid-v5,456
201.3878,4424.88,3622.95,73,68.8072,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,365000,Humanoid-v5,456
206.4452,3133.26,5220.84,74,83.3784,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,370000,Humanoid-v5,456
159.1209,4373.96,5324.56,75,53.9191,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,375000,Humanoid-v5,456
157.9069,5040.59,4582.36,76,54.6066,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,380000,Humanoid-v5,456
195.8171,3405.56,5040.08,77,76.4066,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,385000,Humanoid-v5,456
159.2222,3771.85,4787.75,78,58.7894,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,390000,Humanoid-v5,456
155.6095,4851.02,5305.81,79,44.2012,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,395000,Humanoid-v5,456
164.9604,4289.63,5123.58,80,64.3031,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,400000,Humanoid-v5,456
186.5335,2916.71,5153.17,81,81.0548,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,405000,Humanoid-v5,456
167.251,4786.27,5056.0,82,64.1173,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,410000,Humanoid-v5,456
145.0241,5116.38,5341.99,83,44.8629,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,415000,Humanoid-v5,456
145.4006,4679.71,5312.5,84,44.0869,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,420000,Humanoid-v5,456
152.5373,4755.05,4713.71,85,56.5929,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,425000,Humanoid-v5,456
186.6171,4100.11,3400.17,86,76.9907,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,430000,Humanoid-v5,456
148.4,4729.37,4975.91,87,55.1039,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,435000,Humanoid-v5,456
158.8492,4529.91,4048.51,88,63.2925,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,440000,Humanoid-v5,456
142.7678,5231.89,5370.07,89,39.8378,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,445000,Humanoid-v5,456
143.3733,4716.19,5189.91,90,43.1386,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,450000,Humanoid-v5,456
146.1293,4734.44,5294.56,91,49.6935,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,455000,Humanoid-v5,456
165.2,5190.76,5417.17,92,52.7969,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,460000,Humanoid-v5,456
142.9811,5017.81,5297.84,93,40.518,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,465000,Humanoid-v5,456
135.053,5020.36,5410.13,94,38.5432,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,470000,Humanoid-v5,456
146.7621,4832.81,4670.29,95,54.9455,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,475000,Humanoid-v5,456
156.3779,5160.23,5282.72,96,49.4655,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,480000,Humanoid-v5,456
157.4156,5059.33,5250.11,97,50.7574,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,485000,Humanoid-v5,456
141.3185,5109.3,5237.72,98,36.2954,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,490000,Humanoid-v5,456
234.6679,3794.06,4744.49,99,76.1053,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,495000,Humanoid-v5,456
182.0273,3579.07,4840.5,100,64.9472,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,500000,Humanoid-v5,456
166.6252,4579.01,5232.6,101,51.6069,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,505000,Humanoid-v5,456
144.2764,4845.86,4871.78,102,41.9056,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,510000,Humanoid-v5,456
247.5052,3424.67,4817.05,103,77.218,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,515000,Humanoid-v5,456
145.2502,4284.89,4477.14,104,47.0986,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,520000,Humanoid-v5,456
140.3503,4972.88,5284.18,105,39.8826,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,525000,Humanoid-v5,456
150.2012,4713.35,5257.64,106,44.0746,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,530000,Humanoid-v5,456
144.6888,5263.84,5255.6,107,38.8583,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,535000,Humanoid-v5,456
145.5056,4777.56,5246.92,108,44.057,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,540000,Humanoid-v5,456
174.6044,4267.42,4807.92,109,54.159,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,545000,Humanoid-v5,456
128.4108,5167.26,5395.71,110,25.2107,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,550000,Humanoid-v5,456
146.1787,5243.45,5455.1,111,35.1045,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,555000,Humanoid-v5,456
143.4456,4989.21,5240.04,112,38.0407,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,560000,Humanoid-v5,456
157.5565,4219.87,5065.59,113,49.2628,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,565000,Humanoid-v5,456
147.1036,5254.41,5502.99,114,39.8569,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,570000,Humanoid-v5,456
136.7145,5278.13,5443.98,115,28.2873,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,575000,Humanoid-v5,456
135.2651,4782.13,5346.06,116,30.9824,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,580000,Humanoid-v5,456
136.254,5289.68,5348.79,117,29.3825,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,585000,Humanoid-v5,456
172.3752,4499.24,4156.83,118,53.6935,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,590000,Humanoid-v5,456
143.1934,5266.26,5409.57,119,28.9024,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,595000,Humanoid-v5,456
155.8551,4857.77,5388.91,120,44.2952,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,600000,Humanoid-v5,456
144.9213,5008.23,5444.45,121,35.3814,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,605000,Humanoid-v5,456
145.8216,5089.85,5008.71,122,37.5533,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,610000,Humanoid-v5,456
134.2687,4868.99,5354.48,123,38.155,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,615000,Humanoid-v5,456
135.5248,5364.25,5487.04,124,33.5527,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,620000,Humanoid-v5,456
157.4849,4609.29,5470.56,125,46.7598,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,625000,Humanoid-v5,456
146.3272,4871.81,5038.46,126,40.6328,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,630000,Humanoid-v5,456
164.6799,4569.8,4843.5,127,45.923,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,635000,Humanoid-v5,456
148.5844,5343.88,5414.82,128,41.2112,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,640000,Humanoid-v5,456
159.3918,4747.67,5097.67,129,41.7053,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,645000,Humanoid-v5,456
164.4916,4655.33,5354.21,130,49.1871,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,650000,Humanoid-v5,456
130.765,5088.55,4291.95,131,30.7582,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,655000,Humanoid-v5,456
134.4401,5302.59,5419.21,132,32.3464,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,660000,Humanoid-v5,456
132.4412,5280.55,5189.07,133,31.6574,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,665000,Humanoid-v5,456
147.4994,5018.11,5465.8,134,37.5351,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,670000,Humanoid-v5,456
173.2331,4811.96,5109.6,135,55.0445,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,675000,Humanoid-v5,456
138.2443,5076.96,5496.95,136,34.9916,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,680000,Humanoid-v5,456
148.2701,5289.83,4521.5,137,37.5599,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,685000,Humanoid-v5,456
135.4761,5011.74,5537.15,138,36.9112,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,690000,Humanoid-v5,456
124.6992,5168.75,5423.44,139,27.559,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,695000,Humanoid-v5,456
141.3074,4988.29,5500.11,140,32.4842,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,700000,Humanoid-v5,456
128.9792,5020.21,5364.16,141,37.8624,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,705000,Humanoid-v5,456
128.863,5170.8,5174.68,142,30.228,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,710000,Humanoid-v5,456
134.9008,5326.87,4888.75,143,30.8029,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,715000,Humanoid-v5,456
145.1733,4450.27,5225.97,144,38.3969,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,720000,Humanoid-v5,456
135.5108,5050.99,5522.73,145,32.3046,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,725000,Humanoid-v5,456
140.6792,4761.78,4471.67,146,35.8602,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,730000,Humanoid-v5,456
129.1507,5088.96,5402.26,147,32.1606,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,735000,Humanoid-v5,456
136.0571,5228.76,5518.71,148,34.2503,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,740000,Humanoid-v5,456
129.4624,4812.15,4921.9,149,32.6092,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,745000,Humanoid-v5,456
159.6523,4308.63,3978.29,150,41.0145,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,750000,Humanoid-v5,456
135.175,5036.63,5111.32,151,30.9674,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,755000,Humanoid-v5,456
135.6233,5215.28,5467.95,152,29.1773,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,760000,Humanoid-v5,456
127.422,4197.16,5175.75,153,24.3952,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,765000,Humanoid-v5,456
123.9339,5205.85,4451.94,154,29.4462,4,50.0,logs/Humanoid-v5/exp-1/cisl/2025_01_25_00_28_33_q4_seed456_qstd50.0,770000,Humanoid-v5,456
