Real Det Return,Running Update Time,Running Forward KL,Itration,Running Reverse KL,Reward Loss,Running Env Steps,Real Sto Return,q,clip,folder,episode,environment,seed
215.17,0,26.5818,0,23.86,342.1614990234375,0,212.86,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,0,Hopper-v5,123
261.3,1,25.1093,1,34.5457,274.8716125488281,5000,199.13,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,5000,Hopper-v5,123
273.32,2,24.203,2,39.1512,276.71148681640625,10000,279.59,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,10000,Hopper-v5,123
331.41,3,23.3141,3,44.6738,189.4396209716797,15000,330.53,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,15000,Hopper-v5,123
313.79,4,23.2649,4,23.3334,192.72836303710935,20000,316.26,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,20000,Hopper-v5,123
333.45,5,23.0901,5,28.9296,86.44194793701172,25000,311.99,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,25000,Hopper-v5,123
423.37,6,21.7249,6,24.7049,4.449296474456787,30000,410.28,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,30000,Hopper-v5,123
401.39,7,22.6969,7,18.0746,2.7165536880493164,35000,419.38,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,35000,Hopper-v5,123
402.88,8,23.4854,8,20.4071,-101.21563720703124,40000,393.28,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,40000,Hopper-v5,123
419.67,9,23.6148,9,22.2617,-148.9267120361328,45000,408.8,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,45000,Hopper-v5,123
421.51,10,23.2323,10,25.5795,-208.1847686767578,50000,404.91,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,50000,Hopper-v5,123
437.39,11,22.2125,11,27.8295,-45.4776725769043,55000,442.51,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,55000,Hopper-v5,123
299.36,12,21.947,12,25.745,-52.193397521972656,60000,313.13,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,60000,Hopper-v5,123
492.42,13,21.9343,13,18.2313,-280.1927490234375,65000,482.71,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,65000,Hopper-v5,123
606.63,14,21.7233,14,19.359,-248.13316345214844,70000,597.28,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,70000,Hopper-v5,123
1094.88,15,20.879,15,20.2258,-252.0542907714844,75000,752.05,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,75000,Hopper-v5,123
642.35,16,22.104,16,19.0315,-321.9247131347656,80000,659.42,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,80000,Hopper-v5,123
745.76,17,22.3225,17,17.2263,-340.3183898925781,85000,700.68,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,85000,Hopper-v5,123
988.13,18,17.7744,18,13.5343,-258.2300720214844,90000,1111.34,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,90000,Hopper-v5,123
1469.26,19,19.0942,19,13.479,-236.7312164306641,95000,1049.59,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,95000,Hopper-v5,123
2747.0,20,18.0953,20,12.6922,-194.24615478515625,100000,1777.28,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,100000,Hopper-v5,123
1302.1,21,19.7876,21,14.817,-313.8106384277344,105000,1147.73,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,105000,Hopper-v5,123
2480.36,22,17.716,22,13.5621,-37.02315902709961,110000,2583.65,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,110000,Hopper-v5,123
3134.21,23,18.1832,23,15.1855,-15.074644088745115,115000,1756.7,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,115000,Hopper-v5,123
1945.35,24,19.5973,24,24.4817,-439.4159240722656,120000,1341.79,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,120000,Hopper-v5,123
2795.37,25,19.6255,25,16.7219,-119.1176300048828,125000,2909.72,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,125000,Hopper-v5,123
3272.35,26,18.9101,26,20.8776,-92.13129425048828,130000,3141.0,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,130000,Hopper-v5,123
3233.54,27,17.6705,27,16.1886,-137.32447814941406,135000,3209.22,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,135000,Hopper-v5,123
3303.63,28,17.7592,28,16.137,-100.9658432006836,140000,3283.09,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,140000,Hopper-v5,123
3223.97,29,18.0548,29,15.9826,-147.04534912109375,145000,2978.76,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,145000,Hopper-v5,123
3256.55,30,18.2378,30,15.6388,-167.78453063964844,150000,3262.91,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,150000,Hopper-v5,123
1285.91,31,18.2427,31,41.8518,-296.8056945800781,155000,1634.82,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,155000,Hopper-v5,123
3178.59,32,18.7091,32,18.4598,-219.1844940185547,160000,3022.4,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,160000,Hopper-v5,123
3192.94,33,16.0441,33,19.3347,-167.14698791503906,165000,3036.7,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,165000,Hopper-v5,123
3239.77,34,17.6284,34,15.5092,-258.0663452148437,170000,2659.35,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,170000,Hopper-v5,123
3074.04,35,15.1193,35,12.902,-231.7467498779297,175000,2977.08,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,175000,Hopper-v5,123
3291.86,36,17.5314,36,16.5894,-185.6153259277344,180000,2830.96,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,180000,Hopper-v5,123
3275.83,37,15.6434,37,12.2906,-217.1297149658203,185000,2572.0,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,185000,Hopper-v5,123
3243.74,38,17.6073,38,18.788,-316.902587890625,190000,2329.65,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,190000,Hopper-v5,123
3299.31,39,16.999,39,14.8696,-207.53765869140625,195000,3120.79,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,195000,Hopper-v5,123
3293.54,40,17.2527,40,12.8549,-342.2087707519531,200000,2966.52,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,200000,Hopper-v5,123
3.13,41,31.0651,41,83.9738,-1118.20361328125,205000,3.26,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,205000,Hopper-v5,123
3322.02,42,17.4901,42,34.4278,-389.8374938964844,210000,1946.74,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,210000,Hopper-v5,123
2958.23,43,15.2009,43,11.8713,-302.7078857421875,215000,2628.48,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,215000,Hopper-v5,123
3252.54,44,16.7645,44,13.8085,-239.44224548339844,220000,3059.32,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,220000,Hopper-v5,123
3131.68,45,16.4195,45,12.8358,-249.0113067626953,225000,3048.6,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,225000,Hopper-v5,123
3300.89,46,17.0738,46,13.3184,-243.19859313964844,230000,3159.18,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,230000,Hopper-v5,123
3334.89,47,15.7367,47,13.2475,-213.32083129882807,235000,3238.61,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,235000,Hopper-v5,123
3314.4,48,17.3621,48,14.1212,-260.72930908203125,240000,2956.21,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,240000,Hopper-v5,123
3307.57,49,17.3646,49,13.4951,-456.6450805664063,245000,2114.9,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,245000,Hopper-v5,123
3313.59,50,16.7261,50,17.7138,-336.1860046386719,250000,2377.97,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,250000,Hopper-v5,123
3327.02,51,16.4961,51,14.2513,-299.0389709472656,255000,2785.15,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,255000,Hopper-v5,123
3373.55,52,16.0595,52,14.105,-262.7070617675781,260000,3313.04,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,260000,Hopper-v5,123
3354.5,53,16.6279,53,15.0034,-385.14404296875,265000,2673.99,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,265000,Hopper-v5,123
3362.45,54,15.4719,54,13.4043,-264.11181640625,270000,2982.62,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,270000,Hopper-v5,123
3351.87,55,16.6473,55,14.4511,-319.0856018066406,275000,3311.18,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,275000,Hopper-v5,123
3327.15,56,16.755,56,20.5562,-480.9733581542969,280000,2807.54,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,280000,Hopper-v5,123
3303.88,57,14.4142,57,12.9289,-250.35421752929688,285000,3210.16,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,285000,Hopper-v5,123
3411.29,58,16.7893,58,19.0739,-389.1440124511719,290000,2898.45,1,1.0,logs/Hopper-v5/exp-1/rkl/2025_01_25_00_12_28_q1_seed123_qstd1.0,290000,Hopper-v5,123
