Running Forward KL,Itration,Running Env Steps,Real Sto Return,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return,q,clip,folder,episode,environment,seed
33.8355,0,0,180.0,-1576.3907470703125,31.9891,0,176.77,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,0,Hopper-v5,1024
31.281,1,5000,279.33,-1335.035888671875,14.1794,1,295.33,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,5000,Hopper-v5,1024
31.2245,2,10000,237.27,-1283.4149169921875,15.5482,2,195.76,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,10000,Hopper-v5,1024
28.8801,3,15000,374.4,-1142.177978515625,14.6816,3,389.89,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,15000,Hopper-v5,1024
29.4322,4,20000,200.02,-1416.6904296875,16.4808,4,120.01,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,20000,Hopper-v5,1024
27.0394,5,25000,385.42,-1332.5994873046875,47.6799,5,411.99,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,25000,Hopper-v5,1024
23.0585,6,30000,289.25,-1128.5950927734375,21.9447,6,202.28,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,30000,Hopper-v5,1024
25.9063,7,35000,553.52,-1498.1983642578125,23.5607,7,542.68,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,35000,Hopper-v5,1024
27.5896,8,40000,645.08,-1463.75,29.0683,8,654.56,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,40000,Hopper-v5,1024
26.4453,9,45000,366.88,-1160.152587890625,14.5747,9,243.29,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,45000,Hopper-v5,1024
25.8493,10,50000,1047.69,-993.2485961914062,16.1416,10,569.47,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,50000,Hopper-v5,1024
23.9161,11,55000,643.13,-945.0697021484376,14.2411,11,1469.7,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,55000,Hopper-v5,1024
24.6648,12,60000,981.72,-1127.3538818359375,15.1294,12,832.6,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,60000,Hopper-v5,1024
24.7163,13,65000,973.38,-1482.6727294921875,16.0865,13,1925.89,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,65000,Hopper-v5,1024
25.5565,14,70000,922.88,-1110.1605224609375,19.075,14,848.51,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,70000,Hopper-v5,1024
25.0941,15,75000,775.19,-1314.480224609375,26.0615,15,395.66,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,75000,Hopper-v5,1024
21.8099,16,80000,2657.01,-520.9899291992188,15.8303,16,2624.99,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,80000,Hopper-v5,1024
24.1579,17,85000,2520.71,-661.9786987304688,14.3309,17,2670.87,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,85000,Hopper-v5,1024
22.8083,18,90000,3013.43,-331.3400573730469,14.7347,18,3162.02,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,90000,Hopper-v5,1024
21.2985,19,95000,2869.89,-106.5680160522461,13.8896,19,3103.4,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,95000,Hopper-v5,1024
20.3867,20,100000,2669.37,-564.2235107421875,11.8498,20,2699.59,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,100000,Hopper-v5,1024
21.5346,21,105000,2414.13,-408.00775146484375,12.8902,21,1005.35,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,105000,Hopper-v5,1024
20.7708,22,110000,2668.75,-477.2923889160156,13.7233,22,2587.05,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,110000,Hopper-v5,1024
21.1959,23,115000,2900.37,-301.5345764160156,13.579,23,3077.36,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,115000,Hopper-v5,1024
21.8232,24,120000,186.79,-520.5432739257812,13.6625,24,602.29,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,120000,Hopper-v5,1024
23.0955,25,125000,997.57,-351.125,14.5608,25,2426.99,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,125000,Hopper-v5,1024
22.6675,26,130000,1923.53,-609.0126342773438,13.4037,26,3162.09,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,130000,Hopper-v5,1024
22.2142,27,135000,2819.78,-667.6729125976562,13.2273,27,3103.15,5,,logs/Hopper-v5/exp-4/first runs/2024_11_08_19_12_02_q5_seed1024,135000,Hopper-v5,1024
