Real Sto Return,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time,q,clip,folder,episode,environment,seed
294.26,0,0,386.6186218261719,289.49,16.599,30.7615,0,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,0,Hopper-v5,456
273.4,1,5000,268.7624206542969,281.36,22.0743,30.4345,1,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,5000,Hopper-v5,456
301.99,2,10000,221.6908721923828,299.62,19.9677,29.2937,2,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,10000,Hopper-v5,456
307.78,3,15000,260.30926513671875,310.31,17.923,30.0821,3,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,15000,Hopper-v5,456
324.59,4,20000,151.0985870361328,331.16,18.1301,30.3751,4,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,20000,Hopper-v5,456
324.27,5,25000,115.5115966796875,329.42,18.4078,30.6296,5,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,25000,Hopper-v5,456
349.78,6,30000,57.86585235595703,345.43,18.2985,29.557,6,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,30000,Hopper-v5,456
383.7,7,35000,26.77427864074707,403.64,16.969,26.5474,7,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,35000,Hopper-v5,456
346.1,8,40000,62.78489685058594,349.19,16.971,28.2463,8,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,40000,Hopper-v5,456
385.3,9,45000,145.99685668945312,388.58,24.8237,28.6313,9,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,45000,Hopper-v5,456
426.45,10,50000,106.22098541259766,430.92,25.5709,27.4313,10,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,50000,Hopper-v5,456
470.57,11,55000,74.8980484008789,502.87,27.2274,27.5595,11,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,55000,Hopper-v5,456
446.59,12,60000,0.4020742177963257,441.42,26.5525,27.8417,12,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,60000,Hopper-v5,456
600.41,13,65000,-193.69210815429688,570.28,16.1774,25.9033,13,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,65000,Hopper-v5,456
858.0,14,70000,-17.152053833007812,867.71,29.3548,25.5115,14,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,70000,Hopper-v5,456
938.12,15,75000,-29.14437484741211,911.65,35.5249,25.2542,15,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,75000,Hopper-v5,456
1105.23,16,80000,-148.516845703125,1400.49,30.5394,24.6292,16,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,80000,Hopper-v5,456
1418.66,17,85000,-144.0994415283203,2149.73,17.3755,24.6954,17,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,85000,Hopper-v5,456
2511.02,18,90000,-154.68777465820312,2701.68,12.6156,24.4333,18,10,3.0,logs/Hopper-v5/exp-4/hopper_final/2024_11_15_10_56_05_q10_seed456_qstd3.0,90000,Hopper-v5,456
