Running Forward KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps,Reward Loss,Running Reverse KL,q,clip,folder,episode,environment,seed
243.8862,0,0,294.21,349.08,0,-272.91436767578125,304.6803,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,0,Humanoid-v5,456
244.15,1,1,314.18,307.75,5000,-791.7573852539062,315.0153,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,5000,Humanoid-v5,456
242.8498,2,2,381.44,338.0,10000,-1799.169189453125,303.3381,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,10000,Humanoid-v5,456
239.6048,3,3,412.58,394.71,15000,-5079.74951171875,296.2449,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,15000,Humanoid-v5,456
236.3695,4,4,380.22,440.3,20000,-5914.94140625,274.4545,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,20000,Humanoid-v5,456
235.8769,5,5,363.56,344.71,25000,-5019.306640625,329.1477,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,25000,Humanoid-v5,456
224.341,6,6,324.03,384.62,30000,-6251.54296875,269.2456,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,30000,Humanoid-v5,456
220.972,7,7,402.46,441.36,35000,-7537.55810546875,284.0526,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,35000,Humanoid-v5,456
229.0703,8,8,417.01,441.66,40000,-10126.39453125,279.6463,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,40000,Humanoid-v5,456
220.1258,9,9,426.17,470.91,45000,-8858.71875,277.8834,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,45000,Humanoid-v5,456
218.7207,10,10,399.29,431.96,50000,-9445.75,280.3676,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,50000,Humanoid-v5,456
209.0276,11,11,495.26,495.51,55000,-10210.982421875,284.4777,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,55000,Humanoid-v5,456
202.4507,12,12,488.83,484.89,60000,-10728.9052734375,279.5415,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,60000,Humanoid-v5,456
209.8748,13,13,583.84,478.79,65000,-12421.228515625,290.0292,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,65000,Humanoid-v5,456
210.6611,14,14,460.43,472.16,70000,-13155.3447265625,259.0232,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,70000,Humanoid-v5,456
213.8712,15,15,549.04,505.36,75000,-13190.6484375,293.1247,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,75000,Humanoid-v5,456
