Running Forward KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps,Reward Loss,Running Reverse KL,q,clip,folder,episode,environment,seed
211.5751,16,16,417.5,454.64,80000,-13616.552734375,296.7087,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,80000,Humanoid-v5,456
198.6974,17,17,455.28,518.31,85000,-13758.40234375,282.0839,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,85000,Humanoid-v5,456
205.7658,18,18,488.69,506.41,90000,-14967.8369140625,277.2142,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,90000,Humanoid-v5,456
196.1593,19,19,538.13,541.89,95000,-16805.615234375,286.7673,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,95000,Humanoid-v5,456
203.7316,20,20,604.4,589.87,100000,-14657.076171875,302.6279,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,100000,Humanoid-v5,456
190.5233,21,21,657.19,612.77,105000,-14811.4033203125,306.193,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,105000,Humanoid-v5,456
183.0173,22,22,731.82,582.4,110000,-17539.533203125,276.4504,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,110000,Humanoid-v5,456
194.3217,23,23,790.19,614.18,115000,-18843.244140625,285.0058,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,115000,Humanoid-v5,456
189.0367,24,24,579.67,572.93,120000,-18477.892578125,295.6499,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,120000,Humanoid-v5,456
185.9942,25,25,637.58,596.54,125000,-16933.537109375,304.7735,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,125000,Humanoid-v5,456
175.5966,26,26,544.37,559.97,130000,-17059.244140625,316.5613,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,130000,Humanoid-v5,456
185.4397,27,27,585.97,580.67,135000,-17953.32421875,319.9898,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,135000,Humanoid-v5,456
181.4447,28,28,665.69,602.41,140000,-17752.6640625,320.1811,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,140000,Humanoid-v5,456
170.156,29,29,634.9,616.2,145000,-18853.701171875,303.8501,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,145000,Humanoid-v5,456
165.0118,30,30,640.5,631.71,150000,-18033.76171875,317.1669,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,150000,Humanoid-v5,456
167.3956,31,31,684.86,600.68,155000,-19913.0703125,308.8119,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,155000,Humanoid-v5,456
156.9462,32,32,737.22,696.62,160000,-20552.48046875,307.1832,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,160000,Humanoid-v5,456
158.6429,33,33,843.32,817.65,165000,-18966.515625,279.9567,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,165000,Humanoid-v5,456
151.045,34,34,920.57,787.51,170000,-20745.6328125,283.5361,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,170000,Humanoid-v5,456
165.9023,35,35,849.57,708.34,175000,-22919.177734375,303.145,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,175000,Humanoid-v5,456
170.3083,36,36,747.27,810.26,180000,-23413.322265625,285.1128,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,180000,Humanoid-v5,456
165.8949,37,37,736.67,950.7,185000,-21661.65234375,262.558,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,185000,Humanoid-v5,456
158.7588,38,38,980.56,1000.98,190000,-22897.07421875,267.057,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,190000,Humanoid-v5,456
154.6356,39,39,916.29,771.79,195000,-23571.31640625,262.2509,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,195000,Humanoid-v5,456
152.0337,40,40,1000.0,896.73,200000,-24810.53515625,261.3119,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,200000,Humanoid-v5,456
159.5092,41,41,768.26,978.45,205000,-25833.009765625,273.9624,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,205000,Humanoid-v5,456
157.8853,42,42,878.07,855.9,210000,-26764.587890625,277.8057,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,210000,Humanoid-v5,456
160.2137,43,43,892.88,866.4,215000,-27985.94140625,281.2132,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,215000,Humanoid-v5,456
150.9016,44,44,1008.75,880.66,220000,-27400.939453125,282.8819,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,220000,Humanoid-v5,456
153.7196,45,45,897.72,973.03,225000,-28303.185546875,276.6555,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,225000,Humanoid-v5,456
160.0648,46,46,995.11,1003.7,230000,-28615.775390625,292.0239,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,230000,Humanoid-v5,456
152.606,47,47,942.2,1106.99,235000,-28769.076171875,274.5984,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,235000,Humanoid-v5,456
143.1313,48,48,835.91,1227.12,240000,-28497.765625,243.3833,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,240000,Humanoid-v5,456
152.832,49,49,1158.1,1289.13,245000,-29342.57421875,255.6282,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,245000,Humanoid-v5,456
152.1477,50,50,821.93,1309.34,250000,-29994.44140625,270.2056,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,250000,Humanoid-v5,456
142.3232,51,51,1038.75,1085.44,255000,-31459.892578125,255.6808,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,255000,Humanoid-v5,456
148.9235,52,52,1148.44,1320.26,260000,-32250.751953125,273.8838,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,260000,Humanoid-v5,456
134.2493,53,53,1052.59,1329.3,265000,-28873.998046875,251.0105,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,265000,Humanoid-v5,456
152.0725,54,54,1007.04,963.71,270000,-32411.78125,242.4103,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,270000,Humanoid-v5,456
147.4866,55,55,879.94,1239.75,275000,-33874.0078125,254.7765,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,275000,Humanoid-v5,456
129.4515,56,56,1280.61,1227.9,280000,-30935.91015625,245.5699,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,280000,Humanoid-v5,456
132.7677,57,57,1117.05,1215.48,285000,-32359.5859375,258.9902,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,285000,Humanoid-v5,456
173.8885,58,58,1274.82,846.62,290000,-35225.15234375,284.5032,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,290000,Humanoid-v5,456
149.1695,59,59,1423.13,1149.54,295000,-35938.77734375,250.9484,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,295000,Humanoid-v5,456
129.6783,60,60,1317.04,1326.88,300000,-32257.46484375,243.1716,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,300000,Humanoid-v5,456
166.3041,61,61,1036.23,1046.99,305000,-36858.5859375,259.195,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,305000,Humanoid-v5,456
136.239,62,62,905.67,1685.03,310000,-34594.1875,251.436,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,310000,Humanoid-v5,456
154.3426,63,63,723.21,936.67,315000,-36859.484375,257.3022,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,315000,Humanoid-v5,456
118.9406,64,64,1020.36,1676.05,320000,-31065.435546875,240.0748,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,320000,Humanoid-v5,456
140.9656,65,65,1953.18,1913.07,325000,-31751.228515625,231.1159,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,325000,Humanoid-v5,456
147.4131,66,66,1476.13,1343.29,330000,-36232.4921875,231.8465,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,330000,Humanoid-v5,456
133.6708,67,67,1236.72,2007.49,335000,-33952.22265625,238.4629,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,335000,Humanoid-v5,456
141.1523,68,68,1332.71,1524.6,340000,-35409.15625,243.501,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,340000,Humanoid-v5,456
181.7837,69,69,1841.54,2140.89,345000,-38483.54296875,256.82,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,345000,Humanoid-v5,456
128.4548,70,70,1976.11,2529.66,350000,-32347.873046875,231.6057,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,350000,Humanoid-v5,456
117.5614,71,71,1719.24,3025.84,355000,-21814.427734375,191.9476,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,355000,Humanoid-v5,456
127.4324,72,72,2184.99,2973.9,360000,-26760.546875,197.5787,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,360000,Humanoid-v5,456
125.0977,73,73,2111.28,2459.87,365000,-26517.970703125,202.1383,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,365000,Humanoid-v5,456
136.5227,74,74,2183.77,2582.29,370000,-32424.7265625,219.8749,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,370000,Humanoid-v5,456
118.9728,75,75,1643.79,2409.65,375000,-28437.205078125,198.1161,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,375000,Humanoid-v5,456
112.9014,76,76,2469.22,3568.42,380000,-23563.59375,179.4991,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,380000,Humanoid-v5,456
146.2529,77,77,1894.31,3064.42,385000,-34473.76953125,221.432,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,385000,Humanoid-v5,456
126.3172,78,78,1495.99,2220.14,390000,-28673.177734375,201.1777,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,390000,Humanoid-v5,456
128.5171,79,79,1578.18,2566.5,395000,-33179.4453125,225.8936,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,395000,Humanoid-v5,456
118.5473,80,80,1308.0,3446.79,400000,-27258.15625,183.7447,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,400000,Humanoid-v5,456
128.9471,81,81,957.01,2058.31,405000,-32818.8515625,213.5508,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,405000,Humanoid-v5,456
126.4027,82,82,1477.64,2577.07,410000,-34752.890625,210.6888,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,410000,Humanoid-v5,456
118.9774,83,83,1407.46,2959.04,415000,-28900.921875,195.401,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,415000,Humanoid-v5,456
115.3106,84,84,2261.82,3329.3,420000,-26668.64453125,188.2691,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,420000,Humanoid-v5,456
103.8838,85,85,2283.36,4227.42,425000,-22887.78515625,185.3106,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,425000,Humanoid-v5,456
113.358,86,86,2239.52,2974.44,430000,-25461.052734375,187.2298,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,430000,Humanoid-v5,456
91.1326,87,87,1931.89,3627.92,435000,-18482.568359375,171.41,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,435000,Humanoid-v5,456
101.888,88,88,3523.74,3416.76,440000,-25863.482421875,178.3123,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,440000,Humanoid-v5,456
109.2357,89,89,4502.72,3917.03,445000,-23414.81640625,177.5771,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,445000,Humanoid-v5,456
110.3668,90,90,2600.69,3293.35,450000,-35017.640625,205.3169,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,450000,Humanoid-v5,456
116.5,91,91,3278.85,2886.76,455000,-39285.36328125,233.6705,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,455000,Humanoid-v5,456
99.9449,92,92,4577.49,3557.48,460000,-25997.59765625,173.7224,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,460000,Humanoid-v5,456
96.0262,93,93,4709.66,4448.07,465000,-21685.30859375,165.8434,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,465000,Humanoid-v5,456
102.089,94,94,4554.97,3810.05,470000,-29686.734375,200.0361,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,470000,Humanoid-v5,456
122.4847,95,95,3907.79,3724.58,475000,-29404.830078125,201.6093,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,475000,Humanoid-v5,456
107.3027,96,96,4845.69,3893.15,480000,-24025.814453125,178.8098,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,480000,Humanoid-v5,456
95.1225,97,97,4307.62,3740.54,485000,-21079.75,167.0916,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,485000,Humanoid-v5,456
109.0397,98,98,3628.66,4058.78,490000,-28170.337890625,183.6926,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,490000,Humanoid-v5,456
98.4305,99,99,5054.41,4009.81,495000,-30413.37890625,179.4487,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,495000,Humanoid-v5,456
102.1561,100,100,4546.69,3886.08,500000,-36080.26953125,195.3846,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,500000,Humanoid-v5,456
94.7266,101,101,4670.05,3854.23,505000,-26857.5,167.761,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,505000,Humanoid-v5,456
103.0996,102,102,5154.33,4136.4,510000,-29820.501953125,171.4295,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,510000,Humanoid-v5,456
93.0136,103,103,5214.93,4407.24,515000,-26276.177734375,163.4066,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,515000,Humanoid-v5,456
101.2927,104,104,4766.39,4342.98,520000,-28650.046875,173.2562,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,520000,Humanoid-v5,456
89.8713,105,105,4520.52,3829.62,525000,-33522.984375,174.513,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,525000,Humanoid-v5,456
97.4329,106,106,4126.08,4456.43,530000,-33829.1171875,187.3795,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,530000,Humanoid-v5,456
102.8805,107,107,5248.9,4335.78,535000,-34967.2890625,199.3079,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,535000,Humanoid-v5,456
99.572,108,108,5212.51,4559.41,540000,-35836.171875,182.291,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,540000,Humanoid-v5,456
93.0889,109,109,4684.35,3739.06,545000,-32165.060546875,167.2767,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,545000,Humanoid-v5,456
111.89,110,110,5145.02,4401.8,550000,-34760.26953125,175.9072,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,550000,Humanoid-v5,456
115.9491,111,111,4947.08,3912.12,555000,-39868.296875,189.2013,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,555000,Humanoid-v5,456
92.3977,112,112,3748.42,5081.86,560000,-30974.787109375,159.9649,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,560000,Humanoid-v5,456
88.8882,113,113,5225.33,4237.91,565000,-31838.40625,156.5607,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,565000,Humanoid-v5,456
99.0016,114,114,5055.14,3665.41,570000,-41055.89453125,178.8495,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,570000,Humanoid-v5,456
91.7382,115,115,5215.24,4991.26,575000,-33084.52734375,160.8065,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,575000,Humanoid-v5,456
96.8164,116,116,4223.79,4711.31,580000,-35414.65625,165.6532,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,580000,Humanoid-v5,456
90.2,117,117,4727.51,4827.91,585000,-34978.84765625,157.5853,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,585000,Humanoid-v5,456
95.8127,118,118,4901.4,4592.42,590000,-37929.609375,165.9176,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,590000,Humanoid-v5,456
99.9938,119,119,4320.87,3997.59,595000,-40285.61328125,171.7247,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,595000,Humanoid-v5,456
92.9694,120,120,5000.26,4983.08,600000,-38457.5859375,160.0431,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,600000,Humanoid-v5,456
92.3199,121,121,4612.89,4641.27,605000,-40678.3671875,161.5961,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,605000,Humanoid-v5,456
90.5794,122,122,5112.93,4773.76,610000,-37158.52734375,166.1567,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,610000,Humanoid-v5,456
90.5312,123,123,4875.25,4826.56,615000,-38803.09375,161.8428,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,615000,Humanoid-v5,456
96.5745,124,124,5244.02,5156.04,620000,-41383.05078125,173.1366,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,620000,Humanoid-v5,456
94.5591,125,125,4496.39,4638.75,625000,-38913.875,161.6483,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,625000,Humanoid-v5,456
91.0395,126,126,5057.3,4832.9,630000,-43566.0625,160.6819,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,630000,Humanoid-v5,456
97.1943,127,127,4931.09,4888.9,635000,-41278.77734375,166.5028,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,635000,Humanoid-v5,456
93.2494,128,128,4841.89,5110.82,640000,-44306.10546875,165.0513,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,640000,Humanoid-v5,456
89.2814,129,129,5218.43,5137.97,645000,-45087.0234375,156.3664,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,645000,Humanoid-v5,456
89.3279,130,130,5167.25,5077.91,650000,-45944.265625,162.6873,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,650000,Humanoid-v5,456
91.832,131,131,4669.46,4790.48,655000,-44363.15234375,168.3275,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,655000,Humanoid-v5,456
93.4944,132,132,4980.31,4724.34,660000,-45474.1796875,160.9614,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,660000,Humanoid-v5,456
100.0224,133,133,4991.26,4659.32,665000,-49254.2421875,179.8895,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,665000,Humanoid-v5,456
97.3781,134,134,5103.47,5117.07,670000,-47972.95703125,167.5811,4,1.0,logs/Humanoid-v5/exp-1/rkl/2025_01_23_18_06_07_q4_seed456_qstd1.0,670000,Humanoid-v5,456
