Real Det Return,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,q,clip,folder,episode,environment,seed
270.64,268.26,0,26.1639,22.3009,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,0,Hopper-v5,123
258.9,287.97,1,24.9303,29.244,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,5000,Hopper-v5,123
363.29,349.14,2,24.5248,27.4976,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,10000,Hopper-v5,123
419.59,412.54,3,23.2753,27.1495,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,15000,Hopper-v5,123
495.35,469.8,4,20.9948,17.85,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,20000,Hopper-v5,123
527.77,522.16,5,20.834,22.2186,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,25000,Hopper-v5,123
331.31,632.04,6,21.522,23.5522,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,30000,Hopper-v5,123
864.22,965.71,7,20.3426,20.7222,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,35000,Hopper-v5,123
771.05,824.29,8,20.5841,41.1738,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,40000,Hopper-v5,123
669.34,690.22,9,21.0189,43.9956,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,45000,Hopper-v5,123
886.64,819.35,10,20.2962,28.7902,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,50000,Hopper-v5,123
861.42,829.39,11,20.2118,29.4347,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,55000,Hopper-v5,123
996.45,908.61,12,20.4776,31.3308,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,60000,Hopper-v5,123
992.96,1556.19,13,19.5628,24.134,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,65000,Hopper-v5,123
968.2,1461.74,14,19.8219,25.6721,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,70000,Hopper-v5,123
997.93,1550.29,15,18.8077,21.7617,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,75000,Hopper-v5,123
2552.99,1244.45,16,19.4589,22.3454,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,80000,Hopper-v5,123
2490.25,2697.0,17,18.9857,15.4704,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,85000,Hopper-v5,123
3033.5,2685.31,18,18.9878,16.4987,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,90000,Hopper-v5,123
2401.86,1614.51,19,18.4156,20.6867,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,95000,Hopper-v5,123
2770.78,1364.24,20,18.6393,22.6479,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,100000,Hopper-v5,123
2913.41,3036.07,21,18.644,15.5722,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,105000,Hopper-v5,123
1715.37,1103.7,22,18.5989,22.1207,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,110000,Hopper-v5,123
3207.53,2541.81,23,17.0639,17.4649,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,115000,Hopper-v5,123
3184.86,2849.9,24,17.9354,17.0366,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,120000,Hopper-v5,123
3128.44,2644.49,25,17.9722,16.9252,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,125000,Hopper-v5,123
3023.59,2991.0,26,17.8211,15.8902,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,130000,Hopper-v5,123
3242.84,1845.86,27,16.6981,17.8993,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,135000,Hopper-v5,123
3201.58,1914.42,28,16.9237,15.3839,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,140000,Hopper-v5,123
2272.03,1493.02,29,17.2687,19.8058,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,145000,Hopper-v5,123
3213.97,2360.84,30,16.8148,17.2681,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,150000,Hopper-v5,123
3203.66,2852.02,31,16.9711,15.7331,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,155000,Hopper-v5,123
3143.35,3038.15,32,17.5142,16.4916,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,160000,Hopper-v5,123
3160.37,2123.26,33,17.3359,18.4367,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,165000,Hopper-v5,123
2494.34,1821.87,34,16.9472,18.3702,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,170000,Hopper-v5,123
2098.6,1842.08,35,17.297,18.204,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,175000,Hopper-v5,123
2758.01,1655.29,36,16.8989,17.6014,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,180000,Hopper-v5,123
3146.48,2016.72,37,16.7702,18.0131,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,185000,Hopper-v5,123
3192.0,2537.05,38,16.6192,15.4218,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,190000,Hopper-v5,123
3251.52,2545.9,39,16.845,16.4648,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,195000,Hopper-v5,123
3236.27,2740.36,40,17.017,15.5448,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,200000,Hopper-v5,123
2790.3,1975.42,41,17.0936,16.7484,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,205000,Hopper-v5,123
3203.35,2318.67,42,16.9295,16.0615,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,210000,Hopper-v5,123
2806.21,1738.37,43,16.8176,16.9326,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,215000,Hopper-v5,123
3173.1,2957.83,44,16.9712,15.7901,4,0.1,logs/Hopper-v5/exp-1/cisl/2025_01_25_00_28_18_q4_seed123_qstd0.1,220000,Hopper-v5,123
